CAS_Reg,Param,ParamGroup,USGSPCode
NULL,Azinphos-methyl,NULL,82686
NULL,Azobenzene,NULL,NULL
NULL,Azobenzene,NULL,49443
NULL,Azoxystrobin,NULL,NULL
NULL,"Bacteria mixture, unspecified",NULL,NULL
NULL,barium,NULL,NULL
NULL,Barium,NULL,01005
NULL,Barium,NULL,01006
NULL,Barium,NULL,01007
NULL,Barium,NULL,01008
NULL,Barium,NULL,04045
NULL,Barium,NULL,29820
NULL,Barium,NULL,34805
NULL,Barium,NULL,34807
NULL,Barometric pressure,NULL,NULL
NULL,Barometric pressure,NULL,00025
NULL,Bendiocarb,NULL,NULL
NULL,Bendiocarb,NULL,50299
NULL,Benfluralin,NULL,NULL
NULL,Benfluralin,NULL,82673
NULL,Benomyl,NULL,50300
NULL,Bensulfuron-methyl,NULL,61693
NULL,Bentazon,NULL,NULL
NULL,Bentazon,NULL,38711
NULL,Benz[a]anthracene,NULL,NULL
NULL,Benz[a]anthracene,NULL,34526
NULL,Benz[a]anthracene,NULL,34529
NULL,Benz[a]anthracene,NULL,49436
NULL,Benzaldehyde,NULL,NULL
NULL,"Benzamide, 5-chloro-N-[2-[4-[[[(cyclohexylamino)carbonyl]amino]sulfonyl]phenyl]ethyl]-2-methoxy-",NULL,NULL
NULL,Benzene,NULL,NULL
NULL,Benzene,NULL,34030
NULL,"Benzene, 1,1'-oxybis[2,4-dibromo-",NULL,63147
NULL,"Benzene, 1,3(and 1,4)-dimethyl- Chemical m(and p)-xylene",NULL,85795
NULL,"Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites",NULL,90852
NULL,"Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites",NULL,90863
NULL,"Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-",NULL,49347
NULL,"Benzene, pentachloromethoxy-",NULL,49460
NULL,"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",NULL,NULL
